Departure,Return,Electric bike,Departure station,Return station,Membership type,Covered distance (m),Duration (sec.),Departure temperature (C),Return temperature (C),Stopover duration (sec.),Number of stopovers
2023-08-01 0:00,2023-08-01 0:00,TRUE,0198 5th & Main,0281 Windsor & 14th,30 Day Pass,2131,508,15,19,0,0
2023-08-01 0:00,2023-08-01 0:00,FALSE,0076 Cypress & 4th,0047 Chilco & Beach,365 Day Pass Plus,4627,1465,19,20,0,0
2023-08-01 0:00,2023-08-01 0:00,FALSE,0176 10th & Ontario,0172 10th & Columbia,30 Day Pass,343,81,19,19,0,0
2023-08-01 0:00,2023-08-01 0:00,FALSE,0081 7th & Heather,0155 Arbutus & McNicoll,Pay Per Ride,3747,1073,19,21,0,0
2023-08-01 0:00,2023-08-01 0:00,FALSE,0066 Anderson & 2nd,0011 Ontario & Seawall,Pay Per Ride,3424,932,21,21,0,0
2023-08-01 0:00,2023-08-01 0:00,TRUE,0081 7th & Heather,0155 Arbutus & McNicoll,Pay Per Ride,4103,1081,18,21,0,0
2023-08-01 0:00,2023-08-01 0:00,TRUE,0081 7th & Heather,0081 7th & Heather,Pay Per Ride,0,12,18,14,0,0
2023-08-01 0:00,2023-08-01 0:00,TRUE,0081 7th & Heather,0081 7th & Heather,Pay Per Ride,0,7,18,15,0,0
2023-08-01 0:00,2023-08-01 0:00,TRUE,0081 7th & Heather,0081 7th & Heather,Pay Per Ride,0,6,18,20,0,0
2023-08-01 0:00,2023-08-01 0:00,TRUE,0081 7th & Heather,0155 Arbutus & McNicoll,Pay Per Ride,3899,941,15,12,0,0
2023-08-01 0:00,2023-08-01 0:00,FALSE,0484 Yew & Broadway,0202 14th & Oak,Pay Per Ride,2646,771,19,19,0,0
2023-08-01 0:00,2023-08-01 0:00,FALSE,0484 Yew & Broadway,0202 14th & Oak,30 Day Pass,2626,800,19,19,0,0
2023-08-01 0:00,2023-08-01 0:00,TRUE,0484 Yew & Broadway,0484 Yew & Broadway,Pay Per Ride,0,13,15,13,0,0
2023-08-01 0:00,2023-08-01 0:00,TRUE,0484 Yew & Broadway,0484 Yew & Broadway,30 Day Pass,0,9,15,12,0,0
2023-08-01 0:00,2023-08-01 0:00,TRUE,0484 Yew & Broadway,0484 Yew & Broadway,Pay Per Ride,0,6,16,19,0,0
2023-08-01 0:00,2023-08-01 0:00,TRUE,0484 Yew & Broadway,0202 14th & Oak,Pay Per Ride,2721,909,15,13,0,0
2023-08-01 0:00,2023-08-01 0:00,TRUE,0223 Commercial & Adanac,0198 5th & Main,30 Day Pass,4494,839,15,12,0,0
2023-08-01 0:00,2023-08-01 2:00,FALSE,0209 Stanley Park - Information Booth,0207 Alberni & Jervis,Pay Per Ride,10528,6606,18,17,0,0
2023-08-01 0:00,2023-08-01 0:00,FALSE,0075 Arbutus & 10th,0070 10th & Granville,365 Day Pass Plus SALE,1049,383,21,21,0,0
2023-08-01 0:00,2023-08-01 0:00,TRUE,0223 Commercial & Adanac,0223 Commercial & Adanac,30 Day Pass,0,9,14,17,0,0
2023-08-01 0:00,2023-08-01 0:00,FALSE,0244 10th & Commercial,0246 Glen & Broadway,365 Day Pass Standard,927,222,20,21,0,0
2023-08-01 0:00,2023-08-01 0:00,TRUE,0069 7th & Granville,0480 Arbutus & Nanton,Pay Per Ride,3335,910,17,14,0,0
2023-08-01 0:00,2023-08-01 0:00,FALSE,0228 Keefer & Hawks,0148 Creekside Park North,Community Pass,1576,345,19,21,0,0
2023-08-01 0:00,2023-08-01 0:00,TRUE,0069 7th & Granville,0069 7th & Granville,Pay Per Ride,0,19,17,20,0,0
2023-08-01 0:00,2023-08-01 0:00,FALSE,0019 Robson & Hornby,0048 Comox & Broughton,365 Day Pass Standard,1335,447,22,23,0,0
2023-08-01 0:00,2023-08-01 0:00,FALSE,0285 Commercial & Pandora,0223 Commercial & Adanac,30 Day Pass,690,271,20,20,0,0
2023-08-01 0:00,2023-08-01 0:00,FALSE,0019 Robson & Hornby,0199 Georgia & Main,Community Pass,3955,909,22,23,0,0
2023-08-01 0:00,2023-08-01 0:00,FALSE,0170 8th & Yukon,0134 14th & Main,30 Day Pass,1762,595,19,18,0,0
