Departure,Return,Electric bike,Departure station,Return station,Membership type,Covered distance (m),Duration (sec.),Departure temperature (C),Return temperature (C),Stopover duration (sec.),Number of stopovers
2023-05-01 0:00,2023-05-01 0:00,TRUE,0631 Lakewood & Triumph,0253 Charles & Woodland,VIP,2171,817,9,13,0,0
2023-05-01 0:00,2023-05-01 1:00,FALSE,0217 Smithe & Burrard,0030 Abbott & Cordova,365 Day Pass Plus,5252,2146,14,18,753,5
2023-05-01 0:00,2023-05-01 0:00,FALSE,0050 Bute & Comox,0187 Bute & Davie,Community Pass,839,283,14,16,0,0
2023-05-01 0:00,2023-05-01 0:00,TRUE,0004 Yaletown-Roundhouse Station,0088 Harwood & Bute,365 Corporate Plus Renewal,1436,459,11,8,0,0
2023-05-01 0:00,2023-05-01 0:00,TRUE,0089 Burrard & Drake,0187 Bute & Davie,365 Day Pass Standard,593,225,10,14,0,0
2023-05-01 0:00,2023-05-01 0:00,FALSE,0122 Haro & Denman,0084 Beach & Broughton,Community Pass,1404,327,14,16,0,0
2023-05-01 0:00,2023-05-01 0:00,FALSE,0017 Marinaside & Davie,0159 Vine & 4th,365 Day Pass Standard,3853,930,14,15,0,0
2023-05-01 0:00,2023-05-01 0:00,FALSE,0242 8th & Commercial,0250 Woodland & 4th,365 Corporate Plus,626,135,13,14,0,0
2023-05-01 0:00,2023-05-01 0:00,TRUE,0311 13th & Cambie,0069 7th & Granville,365 Corporate Plus,2290,491,10,14,0,0
2023-05-01 0:00,2023-05-01 0:00,FALSE,0063 Robson & Granville,0217 Smithe & Burrard,365 Day Pass Plus,518,553,15,15,299,1
2023-05-01 0:00,2023-05-01 0:00,FALSE,0132 14th & Ontario,0180 Columbia & 14th,365 Day Pass Standard,400,122,13,14,0,0
2023-05-01 0:00,2023-05-01 0:00,TRUE,0311 13th & Cambie,0311 13th & Cambie,365 Corporate Plus,0,35,10,7,0,0
2023-05-01 0:00,2023-05-01 0:00,FALSE,0063 Robson & Granville,0063 Robson & Granville,365 Day Pass Plus,0,189,14,14,0,0
2023-05-01 0:00,2023-05-01 0:00,FALSE,0305 Georgia & Homer,0045 Beach & Hornby,365 Day Pass Standard,1796,531,14,15,0,0
2023-05-01 0:00,2023-05-01 0:00,FALSE,0053 Keefer & Abbott,0065 Cypress & Cornwall,30 Day Pass,4792,1137,14,17,0,0
