Departure,Return,Electric bike,Departure station,Return station,Membership type,Covered distance (m),Duration (sec.),Departure temperature (C),Return temperature (C),Stopover duration (sec.),Number of stopovers
2023-03-01 0:00,2023-03-01 0:00,FALSE,0014 Canada Place,0122 Haro & Denman,365 Day Founding Standard,2068,478,3,5,0,0
2023-03-01 0:00,2023-03-01 0:00,TRUE,0171 Yukon & 6th,0130 Heather & 16th,365 Day Pass Standard,1557,404,0,-3,0,0
2023-03-01 0:00,2023-03-01 0:00,FALSE,0124 Richards & Cordova,0227 Campbell & Hastings,365 Corporate Plus,2442,607,5,6,0,0
2023-03-01 0:00,2023-03-01 0:00,TRUE,0205 Pine & 10th,0179 11th & Kingsway,365 Day Pass Plus,3463,857,-1,3,0,0
2023-03-01 0:00,2023-03-01 0:00,FALSE,0173 Columbia & 1st,0171 Yukon & 6th,365 Day Pass Standard,679,204,4,5,0,0
2023-03-01 0:00,2023-03-01 0:00,TRUE,0099 šxʷƛ̓ənəq Xwtl'e7énḵ Square - Vancouver Art Gallery,0082 Richards & Davie,30 Day Pass,1206,528,0,3,0,0
2023-03-01 0:00,2023-03-01 0:00,FALSE,0070 10th & Granville,0108 1st & Chestnut,365 Day Pass Plus,1715,462,1,4,0,0
2023-03-01 0:00,2023-03-01 0:00,FALSE,0139 Burrard & 4th,0212 Union & Dunlevy,365 Day Pass Plus,5158,1276,4,5,0,0
2023-03-01 0:00,2023-03-01 0:00,FALSE,0122 Haro & Denman,0084 Beach & Broughton,Community Pass,1435,356,4,6,0,0
2023-03-01 0:00,2023-03-01 0:00,FALSE,0187 Bute & Davie,0030 Abbott & Cordova,Community Pass,2915,820,3,4,0,0
2023-02-28 23:00,2023-02-28 23:00,TRUE,0044 Pacific & Richards,0005 Dunsmuir & Beatty,365 Day Pass Standard,1796,489,1,5,0,0
2023-02-28 23:00,2023-02-28 23:00,FALSE,0039 Helmcken & Burrard,0139 Burrard & 4th,30 Day Pass,2178,449,5,6,0,0
2023-02-28 23:00,2023-02-28 23:00,FALSE,0207 Alberni & Jervis,0058 Richards & Smithe,365 Day Pass Plus,1341,413,4,4,0,0
2023-02-28 23:00,2023-02-28 23:00,TRUE,0189 Granville Island,0070 10th & Granville,365 Day Pass Standard,1386,339,0,-2,0,0
2023-02-28 23:00,2023-02-28 23:00,FALSE,0112 10th & Oak,0159 Vine & 4th,365 Corporate Plus,3009,842,3,5,0,0
2023-02-28 23:00,2023-02-28 23:00,TRUE,0039 Helmcken & Burrard,0206 8th & Scotia,365 Day Pass Standard,3532,863,2,6,0,0
2023-02-28 23:00,2023-02-28 23:00,FALSE,0093 Chilco & Robson,0017 Marinaside & Davie,365 Day Pass Standard,4686,1233,3,6,0,0
2023-02-28 23:00,2023-02-28 23:00,FALSE,0081 7th & Heather,0006 Olympic Village Station,365 Day Pass Standard,443,157,4,5,0,0
2023-02-28 22:00,2023-02-28 23:00,FALSE,0480 Arbutus & Nanton,0060 Bidwell & Burnaby,365 Day Pass Plus,0,1687,2,2,0,0
2023-02-28 22:00,2023-02-28 23:00,TRUE,0002 Burrard Station (Melville & Dunsmuir),0083 Aquatic Centre,365 Day Pass Standard,1784,484,1,-2,0,0
2023-02-28 22:00,2023-02-28 22:00,FALSE,0140 Burrard & 7th,0065 Cypress & Cornwall,365 Day Pass Standard,1027,337,4,6,0,0
2023-02-28 22:00,2023-02-28 22:00,FALSE,0012 Dunsmuir & Richards,0082 Richards & Davie,365 Day Pass Plus,1090,320,4,5,0,0
2023-02-28 22:00,2023-02-28 22:00,FALSE,0055 Keefer & Columbia,0173 Columbia & 1st,365 Day Pass Plus,1590,432,3,5,0,0
2023-02-28 22:00,2023-02-28 22:00,TRUE,0232 Britannia Parking Lot,0246 Glen & Broadway,VIP,2209,503,0,-3,0,0
2023-02-28 22:00,2023-02-28 23:00,FALSE,0136 David Lam Park - West,0012 Dunsmuir & Richards,365 Day Pass Standard,1654,949,4,4,0,0
2023-02-28 22:00,2023-02-28 22:00,FALSE,0006 Olympic Village Station,0081 7th & Heather,365 Day Founding Standard,394,191,3,4,0,0
2023-02-28 22:00,2023-02-28 22:00,FALSE,0057 Marinaside & Cooperage,0004 Yaletown-Roundhouse Station,365 Day Pass Standard,694,188,4,5,0,0
2023-02-28 22:00,2023-02-28 22:00,FALSE,0063 Robson & Granville,0310 Jervis & Robson,365 Day Pass Standard SALE,927,326,4,6,0,0
2023-02-28 22:00,2023-02-28 23:00,FALSE,0035 Hastings & Broughton,0190 Melville & Bute,365 Day Pass Plus,10990,2867,4,6,322,1
2023-02-28 22:00,2023-02-28 22:00,TRUE,0206 8th & Scotia,0039 Helmcken & Burrard,365 Day Pass Standard,3813,937,0,-2,0,0
2023-02-28 22:00,2023-02-28 22:00,FALSE,0006 Olympic Village Station,0174 1st & Manitoba,365 Day Pass Standard,998,280,3,4,0,0
2023-02-28 22:00,2023-02-28 23:00,FALSE,0039 Helmcken & Burrard,0032 Comox & Denman,30 Day Pass,2303,1665,4,5,182,1
2023-02-28 22:00,2023-02-28 22:00,FALSE,0005 Dunsmuir & Beatty,0039 Helmcken & Burrard,365 Day Pass Plus,1794,539,4,6,0,0
2023-02-28 22:00,2023-02-28 22:00,FALSE,0004 Yaletown-Roundhouse Station,0060 Bidwell & Burnaby,Pay Per Ride,2515,791,4,5,0,0
