Departure,Return,Electric bike,Departure station,Return station,Membership type,Covered distance (m),Duration (sec.),Departure temperature (C),Return temperature (C),Stopover duration (sec.),Number of stopovers
2023-04-01 0:00,2023-04-01 0:00,FALSE,0122 Haro & Denman,0193 Science World,30 Day Pass,5807,1291,7,10,0,0
2023-04-01 0:00,2023-04-01 0:00,FALSE,0227 Campbell & Hastings,0621 Lakewood & Oxford,VIP,0,562,7,6,0,0
2023-04-01 0:00,2023-04-01 0:00,FALSE,0005 Dunsmuir & Beatty,0199 Georgia & Main,365 Day Founding Standard,951,215,7,9,0,0
2023-04-01 0:00,2023-04-01 0:00,FALSE,0063 Robson & Granville,0039 Helmcken & Burrard,365 Day Pass Plus,724,264,8,8,0,0
2023-04-01 0:00,2023-04-01 0:00,FALSE,0074 10th & Main,0176 10th & Ontario,365 Day Pass Standard,214,84,6,3,0,0
2023-04-01 0:00,2023-04-01 0:00,TRUE,0223 Commercial & Adanac,0239 Grant & Commercial,365 Day Pass Plus,767,244,3,6,0,0
2023-04-01 0:00,2023-04-01 0:00,FALSE,0193 Science World,0004 Yaletown-Roundhouse Station,365 Day Pass Standard,1923,508,7,9,0,0
2023-04-01 0:00,2023-04-01 0:00,FALSE,0147 Chestnut & McNicoll,0065 Cypress & Cornwall,365 Corporate Standard Renewal,469,144,7,8,0,0
2023-04-01 0:00,2023-04-01 0:00,FALSE,0129 Richards & Robson,0079 Nelson & Richards,365 Day Pass Plus SALE,557,138,7,7,0,0
2023-04-01 0:00,2023-04-01 0:00,FALSE,0300 Bute & Barclay,0060 Bidwell & Burnaby,365 Day Pass Standard,1619,387,7,9,0,0
2023-04-01 0:00,2023-04-01 0:00,FALSE,0039 Helmcken & Burrard,0300 Bute & Barclay,365 Day Pass Plus,782,233,8,10,0,0
2023-04-01 0:00,2023-04-01 0:00,FALSE,0193 Science World,0010 Stamps Landing,365 Day Founding Plus,1556,453,8,9,0,0
2023-04-01 0:00,2023-04-01 0:00,FALSE,0189 Granville Island,0081 7th & Heather,Community Pass,1792,552,6,6,0,0
2023-04-01 0:00,2023-04-01 0:00,FALSE,0189 Granville Island,0081 7th & Heather,365 Corporate Plus,1821,551,7,9,0,0
2023-04-01 0:00,2023-04-01 0:00,FALSE,0006 Olympic Village Station,0191 7th & Laurel,365 Day Pass Standard,694,414,7,7,0,0
2023-04-01 0:00,2023-04-01 0:00,FALSE,0058 Richards & Smithe,0217 Smithe & Burrard,365 Day Pass Plus,579,235,7,7,0,0
2023-04-01 0:00,2023-04-01 0:00,TRUE,0066 Anderson & 2nd,0058 Richards & Smithe,Pay Per Ride,3450,814,3,0,0,0
2023-04-01 0:00,2023-04-01 0:00,FALSE,0212 Union & Dunlevy,0190 Melville & Bute,365 Day Pass Plus,7700,2284,8,10,328,1
2023-03-31 23:00,2023-04-01 0:00,FALSE,0036 Bute & Robson,0088 Harwood & Bute,365 Day Pass Standard SALE,914,239,7,9,0,0
2023-03-31 23:00,2023-03-31 23:00,FALSE,0124 Richards & Cordova,0213 Pender & Gore,365 Day Pass Plus,1388,654,9,9,0,0
2023-03-31 23:00,2023-04-01 0:00,FALSE,0008 8th & Ash,0314 Rolston & Granville,365 Corporate Plus,2820,880,7,9,0,0
2023-03-31 23:00,2023-04-01 0:00,FALSE,0561 20th & Main,0249 7th & Woodland,365 Day Pass Standard SALE,4053,867,7,8,0,0
2023-03-31 23:00,2023-04-01 0:00,TRUE,0207 Alberni & Jervis,0224 Pender & Commercial,Pay Per Ride,5099,1412,2,0,0,0
2023-03-31 23:00,2023-03-31 23:00,TRUE,0554 Ontario & 23rd,0561 20th & Main,365 Day Pass Standard SALE,588,126,2,0,0,0
2023-03-31 23:00,2023-04-01 13:00,FALSE,0236 Keith & 6th,0011 Ontario & Seawall,Pay Per Ride,2278,718,0,16,0,0
2023-03-31 23:00,2023-03-31 23:00,TRUE,0554 Ontario & 23rd,0554 Ontario & 23rd,365 Day Pass Standard SALE,0,6,3,6,0,0
2023-03-31 23:00,2023-03-31 23:00,FALSE,0035 Hastings & Broughton,0212 Union & Dunlevy,365 Day Pass Plus,0,999,8,7,0,0
2023-03-31 23:00,2023-03-31 23:00,TRUE,0554 Ontario & 23rd,0554 Ontario & 23rd,365 Day Pass Standard SALE,0,8,3,0,0,0
2023-03-31 23:00,2023-04-01 0:00,FALSE,0218 Carrall & Seawall,0060 Bidwell & Burnaby,365 Day Pass Standard,4288,1209,7,9,0,0
2023-03-31 23:00,2023-03-31 23:00,FALSE,0218 Carrall & Seawall,0004 Yaletown-Roundhouse Station,365 Day Pass Standard,2054,964,7,6,0,0
2023-03-31 23:00,2023-03-31 23:00,TRUE,0064 Expo & Smithe,0053 Keefer & Abbott,30 Day Pass,734,172,5,8,0,0
2023-03-31 23:00,2023-03-31 23:00,FALSE,0030 Abbott & Cordova,0032 Comox & Denman,365 Day Pass Standard,3434,1275,8,10,0,0
2023-03-31 23:00,2023-03-31 23:00,FALSE,0001 10th & Cambie,0218 Carrall & Seawall,365 Corporate Standard,2601,968,7,3,0,0
2023-03-31 23:00,2023-03-31 23:00,FALSE,0173 Columbia & 1st,0174 1st & Manitoba,30 Day Pass,265,85,7,5,0,0
2023-03-31 23:00,2023-03-31 23:00,TRUE,0045 Beach & Hornby,0084 Beach & Broughton,365 Day Pass Plus,844,171,4,0,0,0
2023-03-31 23:00,2023-03-31 23:00,FALSE,0354 Station & Terminal,0222 Adanac & McLean,365 Day Pass Standard,0,780,8,7,0,0
2023-03-31 23:00,2023-03-31 23:00,TRUE,0199 Georgia & Main,0138 Richards & Helmcken,365 Day Founding Standard,2249,569,4,2,0,0
2023-03-31 23:00,2023-03-31 23:00,TRUE,0148 Creekside Park North,0143 South False Creek Seawall,Community Pass E-bike (PWD),2675,730,4,1,0,0
2023-03-31 23:00,2023-03-31 23:00,TRUE,0148 Creekside Park North,0148 Creekside Park North,Community Pass E-bike (PWD),0,7,4,0,0,0
2023-03-31 23:00,2023-03-31 23:00,FALSE,0177 Quebec & 1st,0030 Abbott & Cordova,365 Day Pass Standard,1774,724,8,8,0,0
2023-03-31 23:00,2023-03-31 23:00,FALSE,0310 Jervis & Robson,0122 Haro & Denman,30 Day Pass,765,164,7,9,0,0
2023-03-31 23:00,2023-03-31 23:00,FALSE,0253 Charles & Woodland,0240 2nd & Commercial,30 Day Pass,773,294,7,7,0,0
2023-03-31 23:00,2023-03-31 23:00,FALSE,0024 Hornby & Pender,0053 Keefer & Abbott,30 Day Pass,2178,778,8,10,0,0
2023-03-31 23:00,2023-03-31 23:00,TRUE,0212 Union & Dunlevy,0222 Adanac & McLean,365 Day Pass Plus,1667,369,4,7,0,0
2023-03-31 23:00,2023-03-31 23:00,FALSE,0006 Olympic Village Station,0197 1st & Scotia,365 Corporate Standard Renewal,1654,357,7,10,0,0
2023-03-31 23:00,2023-03-31 23:00,TRUE,0078 Nelson & Mainland,0511 18th & Heather,365 Day Pass Standard,3103,844,4,8,0,0
2023-03-31 23:00,2023-03-31 23:00,FALSE,0082 Richards & Davie,0040 Cardero & Davie,365 Day Pass Standard,1651,567,7,9,0,0
2023-03-31 23:00,2023-03-31 23:00,FALSE,0006 Olympic Village Station,0197 1st & Scotia,365 Corporate Standard Renewal,1656,365,8,10,0,0
2023-03-31 23:00,2023-03-31 23:00,FALSE,0174 1st & Manitoba,0055 Keefer & Columbia,Pay Per Ride,1372,312,8,11,0,0
2023-03-31 23:00,2023-03-31 23:00,FALSE,0187 Bute & Davie,0140 Burrard & 7th,365 Day Founding Plus,300,602,7,6,0,0
2023-03-31 23:00,2023-03-31 23:00,TRUE,0036 Bute & Robson,0048 Comox & Broughton,30 Day Pass,740,218,4,1,0,0
2023-03-31 23:00,2023-03-31 23:00,FALSE,0037 Hornby & Nelson,0005 Dunsmuir & Beatty,Community Pass E-bike,1558,565,8,9,0,0
2023-03-31 23:00,2023-04-01 0:00,FALSE,0122 Haro & Denman,0213 Pender & Gore,365 Day Pass Plus,7445,3235,10,8,649,3
2023-03-31 23:00,2023-03-31 23:00,FALSE,0300 Bute & Barclay,0002 Burrard Station (Melville & Dunsmuir),365 Day Pass Plus,1010,293,8,10,0,0
2023-03-31 23:00,2023-03-31 23:00,FALSE,0213 Pender & Gore,0218 Carrall & Seawall,Community Pass,1292,581,9,9,0,0
2023-03-31 23:00,2023-03-31 23:00,TRUE,0524 King Edward & Cambie,0561 20th & Main,365 Day Pass Standard,1504,289,4,1,0,0
2023-03-31 22:00,2023-03-31 23:00,FALSE,0063 Robson & Granville,0064 Expo & Smithe,365 Day Pass Plus SALE,902,340,8,9,0,0
2023-03-31 22:00,2023-03-31 23:00,FALSE,0063 Robson & Granville,0174 1st & Manitoba,365 Corporate Plus Renewal,2905,735,5,12,0,0
2023-03-31 22:00,2023-03-31 23:00,FALSE,0026 Beatty & Robson,0217 Smithe & Burrard,365 Corporate Plus,1110,505,7,6,0,0
2023-03-31 22:00,2023-03-31 23:00,FALSE,0055 Keefer & Columbia,0011 Ontario & Seawall,Pay Per Ride,1092,306,9,10,0,0
2023-03-31 22:00,2023-03-31 23:00,FALSE,0089 Burrard & Drake,0058 Richards & Smithe,365 Day Founding Standard,1251,382,8,9,0,0
2023-03-31 22:00,2023-03-31 23:00,FALSE,0480 Arbutus & Nanton,0060 Bidwell & Burnaby,365 Day Pass Plus,6107,1595,8,9,0,0
2023-03-31 22:00,2023-03-31 22:00,TRUE,0055 Keefer & Columbia,0055 Keefer & Columbia,Pay Per Ride,2,22,4,0,0,0
2023-03-31 22:00,2023-03-31 23:00,FALSE,0064 Expo & Smithe,0196 Hornby & Drake,365 Day Pass Standard,1805,599,9,10,0,0
2023-03-31 22:00,2023-03-31 23:00,FALSE,0981 Workshop - Service Complete,0201 Shaw Tower,VIP,4302,946,21,15,0,0
2023-03-31 22:00,2023-03-31 23:00,TRUE,0024 Hornby & Pender,0443 Balaclava & 6th,365 Day Pass Plus,5451,1561,4,7,0,0
2023-03-31 22:00,2023-03-31 23:00,FALSE,0005 Dunsmuir & Beatty,0045 Beach & Hornby,365 Corporate Plus,2105,741,6,9,0,0
2023-03-31 22:00,2023-03-31 22:00,FALSE,0005 Dunsmuir & Beatty,0005 Dunsmuir & Beatty,365 Corporate Plus,0,16,7,6,0,0
2023-03-31 22:00,2023-03-31 22:00,TRUE,0138 Richards & Helmcken,0126 Thurlow & Pendrell,365 Corporate Standard,857,232,4,2,0,0
