Departure,Return,Electric bike,Departure station,Return station,Membership type,Covered distance (m),Duration (sec.),Departure temperature (C),Return temperature (C),Stopover duration (sec.),Number of stopovers
2023-10-01 0:00,2023-10-01 0:00,FALSE,0204 York & Yew,0065 Cypress & Cornwall,30 Day Pass,700,166,11,13,0,0
2023-10-01 0:00,2023-10-01 0:00,FALSE,0015 Granville & Georgia,0064 Expo & Smithe,365 Day Pass Plus,1051,199,13,16,0,0
2023-10-01 0:00,2023-10-01 0:00,FALSE,0012 Dunsmuir & Richards,0083 Aquatic Centre,365 Corporate Plus,2583,800,13,13,0,0
2023-10-01 0:00,2023-10-01 0:00,TRUE,0074 10th & Main,0187 Bute & Davie,365 Day Pass Plus,5782,985,6,4,0,0
2023-10-01 0:00,2023-10-01 0:00,FALSE,0311 13th & Cambie,0071 14th & Granville,365 Corporate Standard,1935,608,12,13,0,0
2023-10-01 0:00,2023-10-01 0:00,TRUE,0045 Beach & Hornby,0016 Pender & Burrard,Pay Per Ride,5094,1898,9,13,0,0
2023-10-01 0:00,2023-10-01 0:00,TRUE,0253 Charles & Woodland,0631 Lakewood & Triumph,VIP,2194,469,6,5,0,0
2023-10-01 0:00,2023-10-01 0:00,FALSE,0002 Burrard Station (Melville & Dunsmuir),0012 Dunsmuir & Richards,365 Corporate Standard Renewal,3108.33,373,14,14,0,0
2023-10-01 0:00,2023-10-01 0:00,TRUE,0045 Beach & Hornby,0016 Pender & Burrard,Pay Per Ride,4879,1971,10,6,0,0
2023-10-01 0:00,2023-10-01 0:00,FALSE,0196 Hornby & Drake,0028 Davie & Beach,Community Pass E-bike,1978,542,13,15,0,0
2023-10-01 0:00,2023-10-01 0:00,TRUE,0253 Charles & Woodland,0253 Charles & Woodland,VIP,0,8,6,9,0,0
2023-10-01 0:00,2023-10-01 0:00,TRUE,0253 Charles & Woodland,0253 Charles & Woodland,VIP,0,7,6,9,0,0
2023-10-01 0:00,2023-10-01 0:00,FALSE,0201 Shaw Tower,0012 Dunsmuir & Richards,30 Day Pass,1217,791,13,11,0,0
2023-10-01 0:00,2023-10-01 0:00,TRUE,0126 Thurlow & Pendrell,0032 Comox & Denman,Pay Per Ride,1166,286,9,13,0,0
2023-10-01 0:00,2023-10-01 0:00,FALSE,0225 McLean & Pender,0225 McLean & Pender,VIP,222,176,12,11,0,0
2023-10-01 0:00,2023-10-01 0:00,FALSE,0037 Hornby & Nelson,0015 Granville & Georgia,365 Day Pass Plus,663,218,13,14,0,0
2023-10-01 0:00,2023-10-01 0:00,FALSE,0004 Yaletown-Roundhouse Station,0045 Beach & Hornby,365 Day Pass Plus,1261,360,14,15,0,0
2023-10-01 0:00,2023-10-01 0:00,FALSE,0225 McLean & Pender,0285 Commercial & Pandora,VIP,878,576,11,13,0,0
2023-10-01 0:00,2023-10-01 0:00,FALSE,0225 McLean & Pender,0225 McLean & Pender,VIP,273,117,12,11,0,0
2023-10-01 0:00,2023-10-01 0:00,FALSE,0266 St Catherines & 7th,0261 8th & Fraser,Community Pass E-bike,4884,1574,12,12,0,0
2023-10-01 0:00,2023-10-01 0:00,TRUE,0410 Alma & Point Grey,0460 Trafalgar & Cornwall,Community Pass E-bike (PWD),1688,340,7,3,0,0
2023-10-01 0:00,2023-10-01 0:00,FALSE,0058 Richards & Smithe,0045 Beach & Hornby,365 Day Pass Standard,0,540,14,12,0,0
2023-10-01 0:00,2023-10-01 0:00,TRUE,0272 Pender & Victoria,0074 10th & Main,365 Day Pass Standard SALE,4883,1094,6,3,0,0
2023-10-01 0:00,2023-10-01 0:00,TRUE,0037 Hornby & Nelson,0215 Princess & Union,365 Day Pass Standard,2938,902,9,6,0,0
