Departure,Return,Electric bike,Departure station,Return station,Membership type,Covered distance (m),Duration (sec.),Departure temperature (C),Return temperature (C),Stopover duration (sec.),Number of stopovers
2023-02-01 0:00,2023-02-01 0:00,FALSE,0228 Keefer & Hawks,0232 Britannia Parking Lot,Community Pass,1474,515,2,3,0,0
2023-01-31 23:00,2023-02-01 0:00,FALSE,0035 Hastings & Broughton,0190 Melville & Bute,365 Day Pass Plus,11086,3410,3,5,587,1
2023-01-31 23:00,2023-02-01 0:00,FALSE,0058 Richards & Smithe,0071 14th & Granville,30 Day Pass,4318,1005,3,6,0,0
2023-01-31 23:00,2023-02-01 0:00,FALSE,0063 Robson & Granville,0030 Abbott & Cordova,365 Day Pass Plus,3375,2221,6,5,1044,5
2023-01-31 23:00,2023-01-31 23:00,FALSE,0008 8th & Ash,0199 Georgia & Main,30 Day Pass,2605,473,3,5,0,0
2023-01-31 23:00,2023-01-31 23:00,FALSE,0140 Burrard & 7th,0065 Cypress & Cornwall,365 Day Pass Standard,1008,296,2,4,0,0
2023-01-31 23:00,2023-01-31 23:00,FALSE,0201 Shaw Tower,0035 Hastings & Broughton,365 Day Pass Plus,780,237,4,5,0,0
2023-01-31 23:00,2023-01-31 23:00,TRUE,0557 30th & Ontario,0248 St George & Broadway,365 Corporate Standard,3093,675,-1,-3,0,0
2023-01-31 23:00,2023-01-31 23:00,TRUE,0171 Yukon & 6th,0110 5th & Arbutus,VIP,3292,791,0,-2,0,0
2023-01-31 23:00,2023-01-31 23:00,FALSE,0089 Burrard & Drake,0088 Harwood & Bute,365 Day Pass Plus SALE,504,164,3,5,0,0
2023-01-31 23:00,2023-01-31 23:00,FALSE,0002 Burrard Station (Melville & Dunsmuir),0063 Robson & Granville,365 Day Pass Plus,3401,2298,5,5,834,3
2023-01-31 23:00,2023-01-31 23:00,TRUE,0170 8th & Yukon,0070 10th & Granville,365 Day Pass Standard,2207,491,-1,2,0,0
2023-01-31 23:00,2023-01-31 23:00,TRUE,0045 Beach & Hornby,0161 Alexander & Dunlevy,365 Corporate Plus,4181,771,0,-4,0,0
2023-01-31 22:00,2023-01-31 23:00,FALSE,0084 Beach & Broughton,0045 Beach & Hornby,365 Corporate Plus,873,242,3,5,0,0
2023-01-31 22:00,2023-01-31 23:00,FALSE,0981 Workshop - Service Complete,0171 Yukon & 6th,VIP,4237,1250,22,8,0,0
2023-01-31 22:00,2023-01-31 23:00,TRUE,0222 Adanac & McLean,0057 Marinaside & Cooperage,VIP,3506,642,0,3,0,0
2023-01-31 22:00,2023-01-31 22:00,FALSE,0071 14th & Granville,0130 Heather & 16th,365 Day Pass Standard,1641,421,2,4,0,0
2023-01-31 22:00,2023-01-31 23:00,FALSE,0480 Arbutus & Nanton,0060 Bidwell & Burnaby,365 Day Pass Plus,6099,1607,2,5,0,0
2023-01-31 22:00,2023-01-31 22:00,FALSE,0025 Homer & Robson (Vancouver Public Library),0006 Olympic Village Station,365 Day Pass Standard,1821,430,3,4,0,0
2023-01-31 22:00,2023-01-31 22:00,FALSE,0016 Pender & Burrard,0201 Shaw Tower,Pay Per Ride,871,707,4,4,0,0
2023-01-31 22:00,2023-01-31 22:00,FALSE,0016 Pender & Burrard,0201 Shaw Tower,Pay Per Ride,918,822,3,4,0,0
2023-01-31 22:00,2023-01-31 22:00,FALSE,0190 Melville & Bute,0034 Cordova & Bute,30 Day Pass,255,96,3,4,0,0
2023-01-31 22:00,2023-01-31 22:00,FALSE,0133 Ontario & 16th,0248 St George & Broadway,365 Corporate Standard,1486,395,2,2,0,0
2023-01-31 22:00,2023-01-31 22:00,TRUE,0073 Ontario & 5th,0106 Heather & 14th,365 Day Founding Standard,1966,391,-1,-3,0,0
2023-01-31 22:00,2023-01-31 23:00,FALSE,0025 Homer & Robson (Vancouver Public Library),0002 Burrard Station (Melville & Dunsmuir),365 Day Pass Plus,3985,3059,4,5,1454,6
2023-01-31 22:00,2023-01-31 22:00,FALSE,0191 7th & Laurel,0150 Alexander & Main,30 Day Pass,3565,821,3,4,0,0
2023-01-31 22:00,2023-01-31 22:00,TRUE,0190 Melville & Bute,0048 Comox & Broughton,365 Day Pass Standard,1087,278,0,4,0,0
2023-01-31 22:00,2023-01-31 22:00,TRUE,0190 Melville & Bute,0190 Melville & Bute,365 Day Pass Standard,0,6,0,-2,0,0
2023-01-31 22:00,2023-01-31 22:00,FALSE,0484 Yew & Broadway,0203 Pine & 14th,Archived Monthly Plus,0,439,3,2,0,0
2023-01-31 22:00,2023-01-31 22:00,TRUE,0179 11th & Kingsway,0561 20th & Main,VIP Tour E-bike,1834,479,0,3,0,0
2023-01-31 22:00,2023-01-31 22:00,TRUE,0179 11th & Kingsway,0150 Alexander & Main,VIP,2651,737,-1,-4,0,0
2023-01-31 22:00,2023-01-31 22:00,FALSE,0025 Homer & Robson (Vancouver Public Library),0025 Homer & Robson (Vancouver Public Library),365 Day Pass Plus,792,711,4,4,345,1
2023-01-31 22:00,2023-01-31 22:00,TRUE,0112 10th & Oak,0198 5th & Main,365 Corporate Standard,2348,594,-1,2,0,0
2023-01-31 22:00,2023-01-31 22:00,TRUE,0036 Bute & Robson,0611 Wall & Eton,365 Day Pass Standard,5569,1216,1,4,0,0
2023-01-31 22:00,2023-01-31 22:00,FALSE,0144 Wylie & 2nd,0066 Anderson & 2nd,30 Day Pass,2538,550,3,5,0,0
2023-01-31 22:00,2023-01-31 22:00,FALSE,0012 Dunsmuir & Richards,0205 Pine & 10th,365 Day Pass Standard,4316,1149,3,4,0,0
2023-01-31 21:00,2023-01-31 22:00,FALSE,0193 Science World,0174 1st & Manitoba,365 Corporate Plus Renewal,630,149,4,5,0,0
2023-01-31 21:00,2023-01-31 22:00,FALSE,0006 Olympic Village Station,0143 South False Creek Seawall,365 Corporate Plus Renewal,0,325,3,3,0,0
2023-01-31 21:00,2023-01-31 22:00,FALSE,0198 5th & Main,0047 Chilco & Beach,Pay Per Ride,7328,1810,3,6,0,0
2023-01-31 21:00,2023-01-31 21:00,FALSE,0050 Bute & Comox,0032 Comox & Denman,365 Corporate Plus,884,211,4,5,0,0
2023-01-31 21:00,2023-01-31 21:00,FALSE,0001 10th & Cambie,0166 Alder & 11th,365 Corporate Plus Renewal,1404,511,2,3,0,0
2023-01-31 21:00,2023-01-31 21:00,FALSE,0055 Keefer & Columbia,0079 Nelson & Richards,365 Day Pass Standard,1903,654,4,5,0,0
2023-01-31 21:00,2023-01-31 21:00,FALSE,0310 Jervis & Robson,0039 Helmcken & Burrard,Pay Per Ride,1155,457,4,5,0,0
2023-01-31 21:00,2023-01-31 22:00,FALSE,0213 Pender & Gore,0066 Anderson & 2nd,Community Pass,4627,1731,3,3,0,0
2023-01-31 21:00,2023-01-31 21:00,FALSE,0177 Quebec & 1st,0237 Glen & 6th,365 Corporate Plus Renewal,1923,445,3,5,0,0
2023-01-31 21:00,2023-01-31 21:00,FALSE,0008 8th & Ash,0025 Homer & Robson (Vancouver Public Library),365 Day Pass Standard,2229,583,2,3,0,0
2023-01-31 21:00,2023-01-31 21:00,TRUE,0561 20th & Main,0174 1st & Manitoba,365 Day Pass Standard,2360,668,-1,-3,0,0
2023-01-31 21:00,2023-01-31 21:00,FALSE,0148 Creekside Park North,0026 Beatty & Robson,365 Day Pass Standard,0,366,3,2,0,0
2023-01-31 21:00,2023-01-31 21:00,FALSE,0511 18th & Heather,0008 8th & Ash,365 Day Pass Standard,1200,229,2,4,0,0
2023-01-31 21:00,2023-01-31 21:00,FALSE,0035 Hastings & Broughton,0082 Richards & Davie,365 Corporate Plus Renewal,3263,1067,4,5,0,0
2023-01-31 21:00,2023-01-31 21:00,FALSE,0063 Robson & Granville,0177 Quebec & 1st,365 Corporate Standard Renewal,2948,691,5,8,0,0
2023-01-31 21:00,2023-01-31 21:00,FALSE,0209 Stanley Park - Information Booth,0010 Stamps Landing,365 Corporate Plus Renewal,7247,1586,3,6,0,0
2023-01-31 21:00,2023-01-31 21:00,TRUE,0126 Thurlow & Pendrell,0174 1st & Manitoba,365 Day Pass Standard,3241,820,0,4,0,0
2023-01-31 21:00,2023-01-31 21:00,TRUE,0171 Yukon & 6th,0170 8th & Yukon,365 Day Pass Standard,356,107,0,5,0,0
2023-01-31 21:00,2023-01-31 21:00,FALSE,0026 Beatty & Robson,0006 Olympic Village Station,30 Day Pass,1482,438,4,4,0,0
2023-01-31 21:00,2023-01-31 21:00,FALSE,0153 Arbutus Greenway & Fir,0144 Wylie & 2nd,30 Day Pass,3091,802,3,4,0,0
2023-01-31 21:00,2023-01-31 21:00,TRUE,0171 Yukon & 6th,0171 Yukon & 6th,365 Day Pass Standard,16,34,0,4,0,0
2023-01-31 21:00,2023-01-31 21:00,FALSE,0112 10th & Oak,0001 10th & Cambie,365 Corporate Plus Renewal,957,242,4,5,0,0
2023-01-31 21:00,2023-01-31 21:00,FALSE,0150 Alexander & Main,0047 Chilco & Beach,365 Day Pass Plus,5513,1228,4,4,0,0
2023-01-31 21:00,2023-01-31 21:00,FALSE,0150 Alexander & Main,0047 Chilco & Beach,365 Day Pass Plus,5501,1227,4,5,0,0
2023-01-31 21:00,2023-01-31 21:00,TRUE,0140 Burrard & 7th,0211 14th & Alder,30 Day Pass,1807,484,1,4,0,0
2023-01-31 21:00,2023-01-31 21:00,FALSE,0173 Columbia & 1st,0171 Yukon & 6th,365 Day Pass Standard,665,201,4,5,0,0
2023-01-31 21:00,2023-01-31 21:00,TRUE,0028 Davie & Beach,0092 Chilco & Barclay,Pay Per Ride,3156,1148,0,-3,0,0
2023-01-31 21:00,2023-01-31 21:00,FALSE,0148 Creekside Park North,0017 Marinaside & Davie,365 Day Pass Plus,1335,302,4,5,0,0
2023-01-31 21:00,2023-01-31 21:00,FALSE,0213 Pender & Gore,0034 Cordova & Bute,365 Day Pass Standard,2417,907,4,6,0,0
2023-01-31 21:00,2023-01-31 21:00,FALSE,0025 Homer & Robson (Vancouver Public Library),0464 Trafalgar & Broadway,365 Corporate Plus,5186,1031,5,7,0,0
2023-01-31 21:00,2023-01-31 21:00,FALSE,0028 Davie & Beach,0028 Davie & Beach,Pay Per Ride,30,330,4,4,19,1
2023-01-31 21:00,2023-01-31 21:00,FALSE,0088 Harwood & Bute,0028 Davie & Beach,30 Day Pass,1131,355,4,3,0,0
2023-01-31 21:00,2023-02-01 3:00,FALSE,0196 Hornby & Drake,0036 Bute & Robson,365 Day Pass Plus,1355,422,4,3,0,0
2023-01-31 21:00,2023-01-31 21:00,FALSE,0505 28th & Willow,0532 22nd & Cambie,365 Day Pass Plus,1206,297,2,5,0,0
2023-01-31 21:00,2023-01-31 21:00,FALSE,0087 Broughton & Davie,0028 Davie & Beach,Community Pass E-bike,624,119,4,4,0,0
2023-01-31 20:00,2023-01-31 21:00,FALSE,0203 Pine & 14th,0484 Yew & Broadway,Archived Monthly Plus,1682,1752,3,3,1192,1
2023-01-31 20:00,2023-01-31 21:00,FALSE,0075 Arbutus & 10th,0203 Pine & 14th,365 Day Pass Standard,1143,415,4,5,0,0
2023-01-31 20:00,2023-01-31 21:00,FALSE,0006 Olympic Village Station,0044 Pacific & Richards,30 Day Pass,2523,908,4,5,0,0
2023-01-31 20:00,2023-01-31 21:00,FALSE,0069 7th & Granville,0139 Burrard & 4th,365 Day Pass Standard,1178,433,5,6,0,0
